Step,Actual Price,Next Price,Model Prediction,Actual Label,Result
127,24047.0,24036.7,Flat,Up,Wrong!
128,24036.7,24012.7,Flat,Up,Wrong!
129,24012.7,24002.7,Flat,Flat,Correct!
130,24002.7,24015.85,Flat,Up,Wrong!
131,24015.85,24012.9,Flat,Down,Wrong!
132,24012.9,24014.0,Flat,Down,Wrong!
133,24014.0,24022.65,Flat,Down,Wrong!
134,24022.65,24022.05,Flat,Down,Wrong!
135,24022.05,24030.45,Flat,Up,Wrong!
136,24030.45,24026.4,Flat,Up,Wrong!
137,24026.4,24022.9,Flat,Flat,Correct!
138,24022.9,24021.95,Flat,Down,Wrong!
139,24021.95,24018.75,Flat,Up,Wrong!
140,24018.75,24025.6,Flat,Up,Wrong!
141,24025.6,24029.9,Flat,Up,Wrong!
142,24029.9,24029.2,Flat,Down,Wrong!
143,24029.2,24018.6,Flat,Down,Wrong!
144,24018.6,24029.6,Flat,Down,Wrong!
145,24029.6,24030.6,Flat,Down,Wrong!
146,24030.6,24033.3,Flat,Down,Wrong!
147,24033.3,24026.75,Flat,Down,Wrong!
148,24026.75,24023.05,Flat,Up,Wrong!
149,24023.05,24020.45,Flat,Down,Wrong!
150,24020.45,24003.4,Flat,Down,Wrong!
151,24003.4,24001.65,Flat,Up,Wrong!
152,24001.65,23989.65,Flat,Up,Wrong!
153,23989.65,24002.35,Flat,Down,Wrong!
154,24002.35,23996.75,Flat,Down,Wrong!
155,23996.75,23986.7,Flat,Up,Wrong!
156,23986.7,23998.75,Flat,Up,Wrong!
157,23998.75,24003.0,Flat,Flat,Correct!
158,24003.0,23993.35,Flat,Down,Wrong!
159,23993.35,23975.6,Flat,Down,Wrong!
160,23975.6,23983.8,Flat,Down,Wrong!
161,23983.8,23988.6,Flat,Up,Wrong!
162,23988.6,23988.5,Flat,Down,Wrong!
163,23988.5,23983.05,Flat,Up,Wrong!
164,23983.05,23980.25,Flat,Up,Wrong!
165,23980.25,23979.35,Flat,Down,Wrong!
166,23979.35,23982.2,Flat,Down,Wrong!
167,23982.2,23969.35,Flat,Up,Wrong!
168,23969.35,23975.55,Flat,Up,Wrong!
169,23975.55,23977.85,Flat,Down,Wrong!
170,23977.85,23976.45,Flat,Down,Wrong!
171,23976.45,23975.25,Flat,Up,Wrong!
172,23975.25,23987.3,Flat,Up,Wrong!
173,23987.3,23991.75,Flat,Up,Wrong!
174,23991.75,23989.9,Flat,Up,Wrong!
175,23989.9,23984.0,Flat,Down,Wrong!
176,23984.0,23987.5,Flat,Down,Wrong!
177,23987.5,23997.2,Flat,Up,Wrong!
178,23997.2,24001.5,Flat,Down,Wrong!
179,24001.5,24003.8,Flat,Down,Wrong!
180,24003.8,24002.75,Flat,Up,Wrong!
181,24002.75,23993.85,Flat,Down,Wrong!
182,23993.85,24007.3,Flat,Down,Wrong!
183,24007.3,24001.25,Flat,Down,Wrong!
184,24001.25,23997.1,Flat,Up,Wrong!
185,23997.1,24002.1,Flat,Up,Wrong!
186,24002.1,24000.25,Flat,Down,Wrong!
187,24000.25,23999.2,Flat,Up,Wrong!
188,23999.2,23988.55,Flat,Up,Wrong!
189,23988.55,23993.0,Flat,Down,Wrong!
190,23993.0,23995.35,Flat,Down,Wrong!
191,23995.35,23986.0,Flat,Down,Wrong!
192,23986.0,23987.85,Flat,Down,Wrong!
193,23987.85,23993.6,Flat,Up,Wrong!
194,23993.6,23991.25,Flat,Down,Wrong!
